Band,CV,Lambda,spike_utilization_mean,spike_utilization_std_dev,spike_utilization_hw,spike_utilization_ci_low,spike_utilization_ci_high,system_utilization_mean,system_utilization_std_dev,system_utilization_hw,system_utilization_ci_low,system_utilization_ci_high,response_time_mean,response_time_std_dev,response_time_hw,response_time_ci_low,response_time_ci_high
10,8.0,14.0,0.738426,0.127794,0.007837,0.730589,0.746262,0.852146,0.061581,0.003776,0.848370,0.855922,4.160995,0.454656,0.027880,4.133115,4.188875
10,12.0,2.0,0.000155,0.000883,0.000054,0.000101,0.000210,0.246145,0.044720,0.002742,0.243403,0.248888,1.505957,0.361244,0.022152,1.483805,1.528109
10,12.0,3.5,0.074487,0.040550,0.002487,0.072000,0.076973,0.347235,0.065027,0.003988,0.343248,0.351223,2.975878,0.344526,0.021127,2.954752,2.997005
10,12.0,5.0,0.240843,0.083229,0.005104,0.235739,0.245947,0.484516,0.086869,0.005327,0.479189,0.489843,3.017811,0.285714,0.017520,3.000291,3.035332
10,12.0,6.5,0.385667,0.109510,0.006715,0.378952,0.392382,0.584936,0.095312,0.005845,0.579091,0.590781,2.996919,0.325646,0.019969,2.976950,3.016888
10,12.0,8.0,0.497045,0.121228,0.007434,0.489611,0.504479,0.650722,0.098597,0.006046,0.644676,0.656768,3.134791,0.400645,0.024568,3.110223,3.159359
10,12.0,9.5,0.568485,0.128217,0.007862,0.560622,0.576347,0.691386,0.099965,0.006130,0.685256,0.697516,3.362782,0.466119,0.028583,3.334199,3.391365
10,12.0,11.0,0.615807,0.136196,0.008352,0.607455,0.624159,0.720866,0.097322,0.005968,0.714898,0.726834,3.602194,0.516433,0.031668,3.570526,3.633863
10,12.0,12.5,0.642935,0.143736,0.008814,0.634121,0.651749,0.747147,0.096929,0.005944,0.741203,0.753091,3.851257,0.547628,0.033581,3.817675,3.884838
10,12.0,14.0,0.670332,0.153061,0.009386,0.660946,0.679718,0.766494,0.095160,0.005835,0.760659,0.772329,4.126053,0.595847,0.036538,4.089515,4.162591
20,1.0,2.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.249966,0.015804,0.000969,0.248997,0.250935,0.499079,0.072411,0.004440,0.494639,0.503520
20,1.0,3.5,0.000251,0.001758,0.000108,0.000143,0.000358,0.425219,0.021044,0.001290,0.423929,0.426510,1.522342,0.408872,0.025073,1.497269,1.547414
20,1.0,5.0,0.057524,0.033042,0.002026,0.055498,0.059550,0.515699,0.021062,0.001292,0.514407,0.516990,3.344418,0.319407,0.019586,3.324832,3.364005
20,1.0,6.5,0.280624,0.062693,0.003844,0.276780,0.284469,0.659426,0.032531,0.001995,0.657431,0.661420,3.696088,0.193805,0.011884,3.684203,3.707972
20,1.0,8.0,0.508707,0.071890,0.004408,0.504299,0.513115,0.786591,0.034238,0.002100,0.784491,0.788690,3.598132,0.181322,0.011119,3.587013,3.609251
20,1.0,9.5,0.687122,0.079937,0.004902,0.682220,0.692024,0.875856,0.031851,0.001953,0.873903,0.877809,3.549693,0.209451,0.012844,3.536849,3.562537
20,1.0,11.0,0.800016,0.087098,0.005341,0.794675,0.805357,0.929967,0.028954,0.001776,0.928191,0.931742,3.710852,0.259590,0.015918,3.694934,3.726771
20,1.0,12.5,0.853044,0.085850,0.005264,0.847780,0.858309,0.954343,0.026039,0.001597,0.952747,0.955940,3.949879,0.287606,0.017636,3.932243,3.967515
20,1.0,14.0,0.864078,0.092630,0.005680,0.858398,0.869758,0.962236,0.025514,0.001565,0.960671,0.963800,4.143471,0.310035,0.019012,4.124460,4.162483
20,4.0,2.0,0.000000,0.000000,0.000000,0.000000,0.000000,0.250278,0.022201,0.001361,0.248917,0.251640,0.792428,0.138189,0.008474,0.783954,0.800902
20,4.0,3.5,0.012646,0.013288,0.000815,0.011832,0.013461,0.407619,0.028486,0.001747,0.405873,0.409366,2.263088,0.358038,0.021955,2.241132,2.285043
20,4.0,5.0,0.135381,0.046708,0.002864,0.132517,0.138245,0.536418,0.036424,0.002234,0.534185,0.538652,3.176601,0.232581,0.014262,3.162339,3.190863
20,4.0,6.5,0.308127,0.069090,0.004237,0.303890,0.312363,0.653636,0.042547,0.002609,0.651027,0.656245,3.312697,0.198185,0.012153,3.300544,3.324850
20,4.0,8.0,0.482132,0.089884,0.005512,0.476620,0.487644,0.756093,0.047677,0.002924,0.753170,0.759017,3.380295,0.214440,0.013150,3.367146,3.393445
20,4.0,9.5,0.636295,0.095361,0.005848,0.630448,0.642143,0.836382,0.045525,0.002792,0.833590,0.839173,3.527372,0.245946,0.015082,3.512290,3.542454
20,4.0,11.0,0.744627,0.097259,0.005964,0.738663,0.750591,0.890460,0.039912,0.002447,0.888012,0.892907,3.757610,0.287822,0.017650,3.739960,3.775260
20,4.0,12.5,0.805738,0.098639,0.006049,0.799690,0.811787,0.920090,0.036688,0.002250,0.917840,0.922340,3.991386,0.306159,0.018774,3.972611,4.010160
20,4.0,14.0,0.837307,0.096826,0.005937,0.831370,0.843245,0.937450,0.032509,0.001994,0.935456,0.939443,4.215600,0.321677,0.019726,4.195874,4.235326
20,8.0,2.0,0.000071,0.000706,0.000043,0.000027,0.000114,0.247759,0.033900,0.002079,0.245680,0.249838,1.186411,0.261495,0.016035,1.170376,1.202446
20,8.0,3.5,0.054141,0.031132,0.001909,0.052232,0.056050,0.376348,0.046918,0.002877,0.373471,0.379225,2.702539,0.291720,0.017889,2.684651,2.720428
20,8.0,5.0,0.217310,0.066629,0.004086,0.213224,0.221395,0.520019,0.062555,0.003836,0.516184,0.523855,2.952852,0.202443,0.012414,2.940438,2.965266
20,8.0,6.5,0.379314,0.094244,0.005779,0.373535,0.385093,0.633292,0.070766,0.004339,0.628953,0.637632,2.959476,0.238281,0.014612,2.944865,2.974088
20,8.0,8.0,0.523525,0.108978,0.006683,0.516842,0.530207,0.717637,0.072832,0.004466,0.713171,0.722103,3.091064,0.293371,0.017990,3.073074,3.109054
20,8.0,9.5,0.631007,0.111507,0.006838,0.624169,0.637845,0.776974,0.070486,0.004322,0.772651,0.781296,3.345479,0.363562,0.022294,3.323185,3.367773
20,8.0,11.0,0.702537,0.114131,0.006999,0.695538,0.709535,0.813422,0.067907,0.004164,0.809258,0.817586,3.636131,0.391262,0.023993,3.612138,3.660124
20,8.0,12.5,0.740917,0.113654,0.006969,0.733948,0.747887,0.838609,0.062729,0.003847,0.834763,0.842456,3.906564,0.416578,0.025545,3.881019,3.932109
20,8.0,14.0,0.775878,0.117616,0.007212,0.768665,0.783090,0.857898,0.060186,0.003691,0.854207,0.861588,4.173419,0.459507,0.028178,4.145241,4.201596
20,12.0,2.0,0.000295,0.001557,0.000095,0.000200,0.000391,0.246286,0.044718,0.002742,0.243543,0.249028,1.503583,0.358472,0.021982,1.481600,1.525565
20,12.0,3.5,0.090480,0.047178,0.002893,0.087587,0.093373,0.359911,0.066908,0.004103,0.355808,0.364014,2.856435,0.307775,0.018873,2.837561,2.875308
20,12.0,5.0,0.257607,0.084205,0.005164,0.252444,0.262771,0.496823,0.086031,0.005276,0.491548,0.502099,2.866566,0.246525,0.015117,2.851449,2.881684
20,12.0,6.5,0.410594,0.112241,0.006883,0.403711,0.417477,0.596549,0.095511,0.005857,0.590692,0.602406,2.890022,0.307850,0.018878,2.871144,2.908900
20,12.0,8.0,0.529677,0.125481,0.007695,0.521982,0.537371,0.659494,0.099953,0.006129,0.653365,0.665624,3.076628,0.403982,0.024773,3.051855,3.101400
20,12.0,9.5,0.598306,0.130932,0.008029,0.590277,0.606335,0.697420,0.101661,0.006234,0.691186,0.703654,3.320656,0.459262,0.028163,3.292494,3.348819
20,12.0,11.0,0.644184,0.134431,0.008243,0.635941,0.652428,0.728645,0.099437,0.006098,0.722547,0.734742,3.587643,0.493694,0.030274,3.557369,3.617917
20,12.0,12.5,0.678030,0.142479,0.008737,0.669293,0.686767,0.750669,0.096824,0.005937,0.744732,0.756607,3.868600,0.544992,0.033420,3.835180,3.902019
20,12.0,14.0,0.699887,0.150516,0.009230,0.690657,0.709117,0.768889,0.096717,0.005931,0.762958,0.774820,4.162898,0.615226,0.037727,4.125171,4.200624
